City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Wakuya,38.5333,141.1333,40.96,59,0,4.05,JP,clear sky
80,Tabou,4.423,-7.3528,78.3,83,29,7.49,CI,light rain
81,Aklavik,68.2191,-135.0107,8.6,85,40,4.61,CA,scattered clouds
82,Hobart,-42.8794,147.3294,65.05,61,20,5.75,AU,few clouds
83,Thompson,55.7435,-97.8558,3.36,78,75,10.36,CA,broken clouds
84,Kaitangata,-46.2817,169.8464,58.73,75,100,5.82,NZ,overcast clouds
85,Raga,8.4596,25.678,71.01,33,54,4.09,SS,broken clouds
86,Victoria,22.2855,114.1577,76.17,86,0,5.01,HK,clear sky
87,Vila Franca Do Campo,37.7167,-25.4333,59.2,73,14,4.88,PT,few clouds
88,Okhotsk,59.3833,143.3,-3.21,75,1,11.9,RU,clear sky
89,Lesozavodsk,45.4794,133.4244,32.99,93,77,9.1,RU,broken clouds
90,Port Alfred,-33.5906,26.891,63.18,94,100,6.82,ZA,overcast clouds
91,Amapa,1.0,-52.0,76.77,68,100,3.49,BR,overcast clouds
92,Zelenoborskiy,66.845,32.3622,26.31,78,25,4.83,RU,scattered clouds
93,Qui Nhon,13.7667,109.2333,76.84,91,63,7.43,VN,broken clouds
94,Alihe,50.5667,123.7167,12.87,92,52,3.06,CN,broken clouds
95,Abnub,27.2696,31.1511,59.22,52,29,5.32,EG,scattered clouds
96,Mount Gambier,-37.8333,140.7667,65.88,50,4,8.55,AU,clear sky
97,Upernavik,72.7868,-56.1549,10.31,70,99,4.5,GL,overcast clouds
98,Ola,59.5833,151.2833,0.45,87,74,8.52,RU,broken clouds
99,Hilo,19.7297,-155.09,83.93,76,0,13.8,US,clear sky
100,Tuatapere,-46.1333,167.6833,55.24,93,100,4.21,NZ,overcast clouds
101,Kyren,51.6828,102.1408,12.34,84,69,1.14,RU,broken clouds
102,Port Elizabeth,-33.918,25.5701,61.09,94,75,3.44,ZA,broken clouds
103,Brae,60.3964,-1.353,44.92,66,100,34.36,GB,overcast clouds
104,Castro,-24.7911,-50.0119,55.65,64,1,5.93,BR,clear sky
105,Salalah,17.0151,54.0924,74.89,76,17,2.39,OM,few clouds
106,Bandarbeyla,9.4942,50.8122,76.93,74,5,12.62,SO,clear sky
107,Ahuimanu,21.4447,-157.8378,84.61,67,20,9.22,US,few clouds
108,Puerto Ayora,-0.7393,-90.3518,69.55,89,68,8.01,EC,broken clouds
109,Hofn,64.2539,-15.2082,46.18,94,100,14.25,IS,light rain
110,Mao,39.8885,4.2658,68.56,88,40,10.36,ES,scattered clouds
111,Ostrovnoy,68.0531,39.5131,37.6,73,100,13.98,RU,overcast clouds
112,Saint-Augustin,51.226,-58.6502,28.76,96,100,19.26,CA,snow
113,Kodiak,57.79,-152.4072,42.31,93,100,11.5,US,mist
114,Dir,35.2058,71.8756,45.19,29,31,7.74,PK,scattered clouds
115,High Level,58.5169,-117.136,10.51,92,20,2.3,CA,smoke
116,Airai,-8.9266,125.4092,71.76,59,78,0.92,TL,broken clouds
117,Aykhal,66.0,111.5,-26.9,100,72,4.72,RU,broken clouds
118,Indramayu,-6.3264,108.32,80.58,75,100,2.82,ID,overcast clouds
119,Kittery,43.0881,-70.7362,38.3,83,44,3.0,US,scattered clouds
120,New Norfolk,-42.7826,147.0587,64.71,51,8,4.0,AU,clear sky
121,Beyneu,45.3167,55.2,39.92,71,99,12.77,KZ,overcast clouds
122,Pachmarhi,22.4667,78.4333,49.53,62,0,2.13,IN,clear sky
123,Busselton,-33.65,115.3333,53.24,75,100,20.6,AU,overcast clouds
124,Fortuna,40.5982,-124.1573,54.93,85,0,10.36,US,clear sky
125,Birin,26.8865,88.0718,47.7,82,2,4.43,NP,clear sky
126,Tucuman,-26.8241,-65.2226,87.8,29,0,6.91,AR,clear sky
127,Manono,-7.3,27.4167,66.79,97,94,1.97,CD,moderate rain
128,Tangkak,2.2673,102.5453,77.16,97,100,2.66,MY,overcast clouds
129,Graaff-Reinet,-32.2522,24.5308,58.93,81,100,0.98,ZA,overcast clouds
130,Souillac,-20.5167,57.5167,61.18,88,20,6.91,MU,few clouds
131,Tarko-Sale,64.9225,77.785,7.77,92,100,28.74,RU,light snow
132,La Libertad,-2.2333,-80.9,71.26,83,75,8.05,EC,broken clouds
133,Kandi,11.1342,2.9386,72.61,32,16,4.29,BJ,few clouds
134,Krasnouralsk,58.3638,60.0407,3.27,92,9,4.25,RU,clear sky
135,Torbay,47.6666,-52.7314,45.75,85,75,29.93,CA,broken clouds
136,Chapais,49.7834,-74.8492,19.18,92,100,8.12,CA,overcast clouds
137,Bow Island,49.8668,-111.3684,10.58,66,30,2.3,CA,scattered clouds
138,Saskylakh,71.9167,114.0833,-34.42,100,84,2.55,RU,broken clouds
139,Talnakh,69.4865,88.3972,-2.79,95,100,22.03,RU,light snow
140,Kupang,-10.1667,123.5833,85.51,64,42,4.25,ID,scattered clouds
141,Capanema,-1.1958,-47.1808,74.32,93,27,3.18,BR,scattered clouds
142,Chaplynka,46.3651,33.5403,43.86,82,99,13.69,UA,overcast clouds
143,Vila Do Maio,15.1333,-23.2167,77.79,78,86,8.75,CV,overcast clouds
144,Chuy,-33.6971,-53.4616,65.61,65,94,4.09,UY,overcast clouds
145,Avarua,-21.2078,-159.775,78.85,78,100,13.8,CK,overcast clouds
146,Sao Jose Da Coroa Grande,-8.8978,-35.1478,76.78,85,61,8.03,BR,broken clouds
147,Port Lincoln,-34.7333,135.8667,66.61,48,100,16.91,AU,light rain
148,Ati,13.2154,18.3353,75.38,21,17,10.78,TD,few clouds
149,Tuy Hoa,13.0833,109.3,77.41,90,77,4.56,VN,broken clouds
150,Bella Vista,36.4295,-94.2316,45.52,48,20,3.69,US,few clouds
151,Ilulissat,69.2167,-51.1,13.24,94,100,5.01,GL,overcast clouds
152,Saint-Pierre,-21.3393,55.4781,69.48,60,0,8.05,RE,clear sky
153,Lapua,62.9693,23.0088,29.08,76,94,3.18,FI,overcast clouds
154,Juba,4.8517,31.5825,73.92,73,29,3.6,SS,scattered clouds
155,Muros,42.7762,-9.0603,50.68,95,31,7.7,ES,scattered clouds
156,Luderitz,-26.6481,15.1594,58.95,64,14,12.84,NA,few clouds
157,Cayenne,4.9333,-52.3333,78.84,83,0,3.44,GF,clear sky
158,Ponta Do Sol,32.6667,-17.1,68.72,74,52,5.23,PT,broken clouds
159,Port-Gentil,-0.7193,8.7815,76.96,94,40,3.44,GA,scattered clouds
160,Filingue,14.3521,3.3168,75.18,17,63,8.97,NE,broken clouds
161,Saint-Philippe,-21.3585,55.7679,69.39,74,28,5.28,RE,scattered clouds
162,Kapaa,22.0752,-159.319,81.12,73,59,5.01,US,broken clouds
163,Tuktoyaktuk,69.4541,-133.0374,24.8,74,75,11.5,CA,broken clouds
164,Koslan,63.4564,48.8989,9.82,91,98,7.49,RU,overcast clouds
165,Zhanaozen,43.3,52.8,44.69,74,68,7.23,KZ,broken clouds
166,Yakima,46.4665,-120.6678,41.92,38,1,4.0,US,clear sky
167,Hamadan,34.7992,48.5146,40.08,81,0,2.3,IR,clear sky
168,Yining,29.0361,114.5636,58.1,94,97,2.46,CN,overcast clouds
169,Qaqortoq,60.7167,-46.0333,17.4,84,98,4.05,GL,overcast clouds
170,Milovice,50.226,14.8886,44.1,93,86,5.91,CZ,overcast clouds
171,Ballina,-28.8667,153.5667,69.78,65,4,6.87,AU,clear sky
172,Clyde River,70.4692,-68.5914,-3.77,84,100,10.36,CA,overcast clouds
173,Sawakin,19.1059,37.3321,83.17,65,1,6.24,SD,clear sky
174,Sao Carlos,-22.0175,-47.8908,66.78,56,22,18.77,BR,few clouds
175,Murgab,37.4966,61.9714,55.27,67,75,0.0,TM,broken clouds
176,Changtu,42.7788,124.0955,34.68,70,5,1.99,CN,clear sky
177,Thiruvananthapuram,8.4833,76.9167,76.98,88,75,4.61,IN,broken clouds
178,Royal Palm Beach,26.7084,-80.2306,73.98,79,49,3.0,US,scattered clouds
179,Nizhniy Kuranakh,58.8353,125.4869,19.51,91,100,5.82,RU,overcast clouds
180,Pezinok,48.2899,17.2666,42.48,98,75,1.14,SK,fog
181,Georgetown,5.4112,100.3354,78.73,98,20,2.3,MY,few clouds
182,Saldanha,-33.0117,17.9442,55.45,70,100,16.35,ZA,overcast clouds
183,Lubu,23.1742,112.2809,73.4,83,0,1.25,CN,clear sky
184,Dryden,49.7833,-92.7503,19.69,79,100,11.5,CA,overcast clouds
185,Gracac,44.3006,15.8547,51.55,94,98,4.52,HR,overcast clouds
186,Lima,-12.0432,-77.0282,67.89,76,20,12.66,PE,few clouds
187,Tepalcatepec,19.1833,-102.85,84.56,45,17,3.91,MX,few clouds
188,Nizhneangarsk,55.7833,109.55,24.53,76,100,7.02,RU,light snow
